LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_P90,Lab_P90_corr,Lab_P0,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,V-Arm
0.5214,0.9307,0.479866092335599,0.8859,0.45676734844752,0.9083,0.468316720391559,0.8763,0.45181761761436,0.8341,0.430059425826929,0.8552,0.440938521720645,,0.515596961787471
0.5215,0.9307,0.479866092335599,0.8855,0.456561109662805,0.9081,0.468213600999202,0.8765,0.451920737006718,0.8339,0.429956306434572,0.8552,0.440938521720645,,0.515596961787471
0.5216,0.9307,0.479866092335599,0.8851,0.45635487087809,0.9079,0.468110481606845,0.8767,0.452023856399075,0.8337,0.429853187042214,0.8552,0.440938521720645,,0.515596961787471
0.5217,0.9307,0.479866092335599,0.8847,0.456148632093375,0.9077,0.468007362214487,0.8769,0.452126975791433,0.8335,0.429750067649857,0.8552,0.440938521720645,,0.515596961787471
0.5218,0.9307,0.479866092335599,0.8843,0.45594239330866,0.9075,0.467904242822129,0.8771,0.45223009518379,0.8334,0.429698507953678,0.8552,0.440938521720645,,0.515596961787471
0.5219,0.9307,0.479866092335599,0.8839,0.455736154523945,0.9073,0.467801123429772,0.8772,0.452281654879969,0.8331,0.429543828865142,0.8552,0.440938521720645,,0.515596961787471
0.522,0.9306,0.47981453263942,0.8835,0.45552991573923,0.907,0.467646444341236,0.8774,0.452384774272327,0.8329,0.429440709472784,0.8552,0.440938521720645,,0.515596961787471
0.5221,0.9306,0.47981453263942,0.883,0.455272117258336,0.9068,0.467543324948878,0.8775,0.452436333968505,0.8327,0.429337590080427,0.8551,0.440886962024466,,0.515596961787471
0.5222,0.9305,0.479762972943241,0.8826,0.455065878473622,0.9065,0.467388645860342,0.8776,0.452487893664684,0.8324,0.42918291099189,0.855,0.440835402328287,,0.515596961787471
0.5223,0.9304,0.479711413247063,0.8821,0.454808079992728,0.9063,0.467285526467985,0.8778,0.452591013057042,0.8322,0.429079791599533,0.855,0.440835402328287,,0.515596961787471
0.5224,0.9303,0.479659853550884,0.8817,0.454601841208013,0.906,0.467130847379448,0.8778,0.452591013057042,0.8319,0.428925112510997,0.8549,0.440783842632109,,0.515596961787471
0.5225,0.9302,0.479608293854705,0.8812,0.454344042727119,0.9057,0.466976168290912,0.8779,0.45264257275322,0.8316,0.42877043342246,0.8548,0.44073228293593,,0.515596961787471
0.5226,0.9301,0.479556734158526,0.8807,0.454086244246225,0.9054,0.466821489202376,0.878,0.452694132449399,0.8314,0.428667314030103,0.8547,0.440680723239751,,0.515596961787471
0.5227,0.93,0.479505174462348,0.8802,0.453828445765332,0.9051,0.46666681011384,0.878,0.452694132449399,0.831,0.428461075245388,0.8545,0.440577603847394,,0.515596961787471
0.5228,0.9299,0.479453614766169,0.8798,0.453622206980617,0.9048,0.466512131025303,0.878,0.452694132449399,0.8307,0.428306396156852,0.8544,0.440526044151215,,0.515596961787471
0.5229,0.9297,0.479350495373811,0.8793,0.453364408499723,0.9045,0.466357451936767,0.878,0.452694132449399,0.8304,0.428151717068316,0.8542,0.440422924758857,,0.515596961787471
0.523,0.9295,0.479247375981454,0.8788,0.453106610018829,0.9041,0.466151213152052,0.878,0.452694132449399,0.8301,0.427997037979779,0.854,0.4403198053665,,0.515596961787471
0.5231,0.9294,0.479195816285275,0.8782,0.452797251841757,0.9038,0.465996534063516,0.878,0.452694132449399,0.8297,0.427790799195064,0.8539,0.440268245670321,,0.515596961787471
0.5232,0.9292,0.479092696892918,0.8777,0.452539453360863,0.9034,0.465790295278801,0.878,0.452694132449399,0.8293,0.427584560410349,0.8537,0.440165126277964,,0.515596961787471
0.5233,0.929,0.47898957750056,0.8772,0.452281654879969,0.9031,0.465635616190265,0.8779,0.45264257275322,0.829,0.427429881321813,0.8534,0.440010447189427,,0.515596961787471
0.5234,0.9288,0.478886458108203,0.8767,0.452023856399075,0.9027,0.46542937740555,0.8778,0.452591013057042,0.8286,0.427223642537098,0.8532,0.43990732779707,,0.515596961787471
0.5235,0.9285,0.478731779019666,0.8761,0.451714498222003,0.9023,0.465223138620835,0.8777,0.452539453360863,0.8282,0.427017403752383,0.8529,0.439752648708534,,0.515596961787471
0.5236,0.9283,0.478628659627309,0.8756,0.451456699741109,0.9019,0.46501689983612,0.8776,0.452487893664684,0.8278,0.426811164967668,0.8527,0.439649529316176,,0.515596961787471
0.5237,0.9281,0.478525540234951,0.875,0.451147341564037,0.9015,0.464810661051405,0.8775,0.452436333968505,0.8273,0.426553366486774,0.8524,0.43949485022764,,0.515596961787471
0.5238,0.9278,0.478370861146415,0.8745,0.450889543083143,0.9011,0.46460442226669,0.8773,0.452333214576148,0.8269,0.426347127702059,0.8521,0.439340171139104,,0.515596961787471
0.5239,0.9276,0.478267741754058,0.8739,0.450580184906071,0.9007,0.464398183481975,0.8772,0.452281654879969,0.8264,0.426089329221166,0.8518,0.439185492050567,,0.515596961787471
0.524,0.9273,0.478113062665521,0.8733,0.450270826728998,0.9003,0.46419194469726,0.877,0.452178535487612,0.8259,0.425831530740272,0.8515,0.439030812962031,,0.515596961787471
0.5241,0.927,0.477958383576985,0.8727,0.449961468551926,0.8999,0.463985705912545,0.8768,0.452075416095254,0.8255,0.425625291955557,0.8511,0.438824574177316,,0.515596961787471
0.5242,0.9268,0.477855264184628,0.8721,0.449652110374853,0.8994,0.463727907431651,0.8766,0.451972296702897,0.8249,0.425315933778484,0.8508,0.43866989508878,,0.515596961787471
0.5243,0.9265,0.477700585096091,0.8715,0.449342752197781,0.899,0.463521668646936,0.8764,0.451869177310539,0.8244,0.425058135297591,0.8504,0.438463656304065,,0.515596961787471
0.5244,0.9262,0.477545906007555,0.8709,0.449033394020708,0.8985,0.463263870166042,0.8761,0.451714498222003,0.8239,0.424800336816697,0.85,0.43825741751935,,0.515596961787471
0.5245,0.9258,0.47733966722284,0.8703,0.448724035843636,0.8981,0.463057631381327,0.8759,0.451611378829645,0.8233,0.424490978639625,0.8496,0.438051178734635,,0.515596961787471
0.5246,0.9255,0.477184988134304,0.8696,0.448363117970384,0.8976,0.462799832900433,0.8756,0.451456699741109,0.8227,0.424181620462552,0.8492,0.43784493994992,,0.515596961787471
0.5247,0.9252,0.477030309045768,0.869,0.448053759793312,0.8971,0.46254203441954,0.8753,0.451302020652573,0.8221,0.42387226228548,0.8487,0.437587141469026,,0.515596961787471
0.5248,0.9248,0.476824070261053,0.8683,0.447692841920061,0.8966,0.462284235938646,0.875,0.451147341564037,0.8215,0.423562904108407,0.8483,0.437380902684311,,0.515596961787471
