LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_90,Lab_P90_corr,Lab_P0 ,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,R-Arm
0.6475,0.8831,0.455323676954515,0.8783,0.452848811537935,0.8807,0.454086244246225,0.8363,0.431193739142862,0.8317,0.428821993118639,0.834,0.43000786613075,,0.515596961787471
0.6476,0.8838,0.455684594827766,0.8785,0.452951930930293,0.8812,0.454344042727119,0.8368,0.431451537623755,0.8318,0.428873552814818,0.8343,0.430162545219287,,0.515596961787471
0.6477,0.8844,0.455993953004839,0.8788,0.453106610018829,0.8816,0.454550281511834,0.8373,0.431709336104649,0.8319,0.428925112510997,0.8346,0.430317224307823,,0.515596961787471
0.6478,0.8851,0.45635487087809,0.879,0.453209729411187,0.8821,0.454808079992728,0.8377,0.431915574889364,0.832,0.428976672207175,0.8348,0.43042034370018,,0.515596961787471
0.6479,0.8858,0.456715788751341,0.8793,0.453364408499723,0.8825,0.455014318777443,0.8382,0.432173373370258,0.832,0.428976672207175,0.8351,0.430575022788717,,0.515596961787471
0.648,0.8864,0.457025146928414,0.8795,0.45346752789208,0.883,0.455272117258336,0.8386,0.432379612154973,0.8321,0.429028231903354,0.8354,0.430729701877253,,0.515596961787471
0.6481,0.887,0.457334505105486,0.8797,0.453570647284438,0.8834,0.455478356043051,0.8391,0.432637410635866,0.8322,0.429079791599533,0.8356,0.43083282126961,,0.515596961787471
0.6482,0.8877,0.457695422978738,0.88,0.453725326372974,0.8838,0.455684594827766,0.8395,0.432843649420582,0.8322,0.429079791599533,0.8359,0.430987500358147,,0.515596961787471
0.6483,0.8883,0.45800478115581,0.8802,0.453828445765332,0.8842,0.455890833612481,0.84,0.433101447901475,0.8323,0.429131351295712,0.8361,0.431090619750504,,0.515596961787471
0.6484,0.8889,0.458314139332883,0.8804,0.453931565157689,0.8847,0.456148632093375,0.8404,0.43330768668619,0.8323,0.429131351295712,0.8364,0.43124529883904,,0.515596961787471
0.6485,0.8896,0.458675057206134,0.8806,0.454034684550047,0.8851,0.45635487087809,0.8408,0.433513925470905,0.8324,0.42918291099189,0.8366,0.431348418231398,,0.515596961787471
0.6486,0.8902,0.458984415383206,0.8808,0.454137803942404,0.8855,0.456561109662805,0.8413,0.433771723951799,0.8324,0.42918291099189,0.8369,0.431503097319934,,0.515596961787471
0.6487,0.8908,0.459293773560279,0.881,0.454240923334762,0.8859,0.45676734844752,0.8417,0.433977962736514,0.8325,0.429234470688069,0.8371,0.431606216712292,,0.515596961787471
0.6488,0.8914,0.459603131737351,0.8812,0.454344042727119,0.8863,0.456973587232235,0.8421,0.434184201521229,0.8325,0.429234470688069,0.8373,0.431709336104649,,0.515596961787471
