LAM,Th_P90,Th_P90_corr,Th_P0,Th_P0_corr,Th_UnPol,Th_UnPol_corr,Lab_P90,Lab_P90_corr,Lab_P0,Lab_P0_corr,Lab_Unpol,Lab_Unpol_corr,,U-Arm
0.4083,0.8392,0.4555,0.3614,0.1961,0.6003,0.3258,0.7697,0.4177,0.3315,0.1799,0.5506,0.2988,,0.542733643986811
0.4084,0.8383,0.4550,0.3546,0.1925,0.5965,0.3237,0.7688,0.4173,0.3252,0.1765,0.547,0.2969,,0.542733643986811
0.4085,0.8374,0.4545,0.3478,0.1888,0.5926,0.3216,0.768,0.4168,0.319,0.1731,0.5435,0.2950,,0.542733643986811
0.4086,0.8364,0.4539,0.341,0.1851,0.5887,0.3195,0.767,0.4163,0.3127,0.1697,0.5399,0.2930,,0.542733643986811
0.4087,0.8354,0.4534,0.3342,0.1814,0.5848,0.3174,0.766,0.4157,0.3065,0.1663,0.5363,0.2911,,0.542733643986811
0.4088,0.8343,0.4528,0.3274,0.1777,0.5809,0.3153,0.765,0.4152,0.3003,0.1630,0.5326,0.2891,,0.542733643986811
0.4089,0.8332,0.4522,0.3207,0.1741,0.5769,0.3131,0.7639,0.4146,0.2941,0.1596,0.529,0.2871,,0.542733643986811
0.409,0.832,0.4516,0.3139,0.1704,0.573,0.3110,0.7628,0.4140,0.2879,0.1563,0.5253,0.2851,,0.542733643986811
0.4091,0.8307,0.4508,0.3072,0.1667,0.569,0.3088,0.7616,0.4133,0.2817,0.1529,0.5216,0.2831,,0.542733643986811
0.4092,0.8293,0.4501,0.3005,0.1631,0.5649,0.3066,0.7603,0.4126,0.2755,0.1495,0.5179,0.2811,,0.542733643986811
0.4093,0.8279,0.4493,0.2938,0.1595,0.5609,0.3044,0.759,0.4119,0.2694,0.1462,0.5142,0.2791,,0.542733643986811
0.4094,0.8265,0.4486,0.2872,0.1559,0.5568,0.3022,0.7576,0.4112,0.2633,0.1429,0.5105,0.2771,,0.542733643986811
0.4095,0.8249,0.4477,0.2806,0.1523,0.5527,0.3000,0.7562,0.4104,0.2573,0.1396,0.5067,0.2750,,0.542733643986811
0.4096,0.8233,0.4468,0.274,0.1487,0.5487,0.2978,0.7547,0.4096,0.2512,0.1363,0.503,0.2730,,0.542733643986811
0.4097,0.8216,0.4459,0.2675,0.1452,0.5445,0.2955,0.7532,0.4088,0.2452,0.1331,0.4992,0.2709,,0.542733643986811
0.4098,0.8199,0.4450,0.261,0.1417,0.5404,0.2933,0.7516,0.4079,0.2393,0.1299,0.4954,0.2689,,0.542733643986811
0.4099,0.8181,0.4440,0.2545,0.1381,0.5363,0.2911,0.75,0.4071,0.2333,0.1266,0.4917,0.2669,,0.542733643986811
0.41,0.8163,0.4430,0.2481,0.1347,0.5322,0.2888,0.7483,0.4061,0.2275,0.1235,0.4879,0.2648,,0.542733643986811
0.4101,0.8143,0.4419,0.2417,0.1312,0.528,0.2866,0.7465,0.4052,0.2216,0.1203,0.4841,0.2627,,0.542733643986811
0.4102,0.8123,0.4409,0.2354,0.1278,0.5239,0.2843,0.7447,0.4042,0.2159,0.1172,0.4803,0.2607,,0.542733643986811
0.4103,0.8103,0.4398,0.2291,0.1243,0.5197,0.2821,0.7429,0.4032,0.2101,0.1140,0.4765,0.2586,,0.542733643986811
0.4104,0.8081,0.4386,0.2229,0.1210,0.5155,0.2798,0.7409,0.4021,0.2044,0.1109,0.4727,0.2566,,0.542733643986811
0.4105,0.8059,0.4374,0.2167,0.1176,0.5113,0.2775,0.739,0.4011,0.1988,0.1079,0.4689,0.2545,,0.542733643986811
0.4106,0.8036,0.4361,0.2106,0.1143,0.5071,0.2752,0.7369,0.3999,0.1931,0.1048,0.465,0.2524,,0.542733643986811
0.4107,0.8013,0.4349,0.2045,0.1110,0.5029,0.2729,0.7348,0.3988,0.1876,0.1018,0.4612,0.2503,,0.542733643986811
0.4108,0.7988,0.4335,0.1985,0.1077,0.4987,0.2707,0.7327,0.3977,0.1821,0.0988,0.4574,0.2482,,0.542733643986811
